example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.26864 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.01007 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.01135 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.00977 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.02725 seconds |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.01115 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.01107 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.01114 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.0118 seconds  |
./spec/features/calculations_spec.rb[10:1] | passed | 0.02225 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.00873 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.00826 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.00746 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.00755 seconds |
./spec/features/calculations_spec.rb[15:1] | passed | 0.07531 seconds |
./spec/features/calculations_spec.rb[16:1] | passed | 0.00937 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.02236 seconds |
./spec/features/calculations_spec.rb[18:1] | passed | 0.02387 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.01121 seconds |
./spec/features/calculations_spec.rb[20:1] | passed | 0.00836 seconds |
./spec/features/calculations_spec.rb[21:1] | passed | 0.00871 seconds |
./spec/features/calculations_spec.rb[22:1] | passed | 0.00874 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.00868 seconds |
./spec/features/calculations_spec.rb[24:1] | passed | 0.01883 seconds |
./spec/features/calculations_spec.rb[25:1] | passed | 0.01292 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.02793 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.04042 seconds |
./spec/features/calculations_spec.rb[28:1] | passed | 0.01673 seconds |
./spec/features/calculations_spec.rb[29:1] | passed | 0.0134 seconds  |
./spec/features/calculations_spec.rb[30:1] | passed | 0.01347 seconds |
./spec/features/calculations_spec.rb[31:1] | passed | 0.01347 seconds |
./spec/features/calculations_spec.rb[32:1] | passed | 0.01221 seconds |
./spec/features/calculations_spec.rb[33:1] | passed | 0.01178 seconds |
./spec/features/calculations_spec.rb[34:1] | passed | 0.01226 seconds |
./spec/features/calculations_spec.rb[35:1] | passed | 0.03445 seconds |
./spec/features/calculations_spec.rb[36:1] | passed | 0.01255 seconds |
./spec/features/calculations_spec.rb[37:1] | passed | 0.05622 seconds |
./spec/features/calculations_spec.rb[38:1] | passed | 0.03967 seconds |
./spec/features/calculations_spec.rb[39:1] | passed | 0.04217 seconds |
./spec/features/calculations_spec.rb[40:1] | passed | 0.02468 seconds |
./spec/features/calculations_spec.rb[41:1] | passed | 0.02296 seconds |
./spec/features/calculations_spec.rb[42:1] | passed | 0.00987 seconds |
./spec/features/calculations_spec.rb[43:1] | passed | 0.00799 seconds |
./spec/features/calculations_spec.rb[44:1] | passed | 0.00766 seconds |
./spec/features/calculations_spec.rb[45:1] | passed | 0.00736 seconds |
./spec/features/calculations_spec.rb[46:1] | passed | 0.00739 seconds |
./spec/features/calculations_spec.rb[47:1] | passed | 0.00756 seconds |
./spec/features/calculations_spec.rb[48:1] | passed | 0.02017 seconds |
./spec/features/calculations_spec.rb[49:1] | passed | 0.00845 seconds |
./spec/features/calculations_spec.rb[50:1] | passed | 0.08752 seconds |
